㐁犁,伸犁
㐁舌,伸出舌頭
㐁舌,伸舌頭
㐁長長,伸剩餘剩餘
㓾,殺
㓾,殺害
㓾㓾,殺殺
㓾㓾啊仔,殺一殺
㓾人,殺人
㓾人放火,殺人放火
㓾來,殺來
㓾來㓾去,殺來殺去
㓾到,殺到
㓾去,殺去
㓾好,殺好
㓾忒,宰殺
㓾忒,殺掉
㓾撇,殺掉
㓾撇去,殺掉
㓾核,殺掉
㓾死,殺死
㓾毋死,殺不死
㓾淨淨,殺光光
㓾等,殺著
㓾著,殺到
㓾豬个,屠夫
㓾豬客,殺豬客
㓾雞捋鴨,殺雞殺鴨
㓾雞鴨,殺雞殺鴨
㓾雞鴨,殺雞鴨
㓾頭,殺頭
㓾頭,砍頭
㕸㕸涉涉,溼溚溚
㕸㕸涉涉,溼溼溚溚
㕸㕸涉涉,溼漉漉
㕸㕸涉涉,溼漉漉地
㕸㕸涉涉,濕濕答答
㕸㕸涉涉,濕答答
㖸死人,笑死人
㗘煙,吸煙
㗘煙,抽煙
㗘菸,吸菸
㗘菸,抽菸
㗘雪茄,抽雪茄
㘔人戇仔,欺騙他人
㘔毒,吸毒
㘝,夾著尾巴
㜮,不佳
㜮合惡,既差勁又兇惡
㜮戲拖棚,歹戲拖棚
㜮斗个醫生,庸醫
㜮狗屎,差勁的傢伙
㝗㝗㝩㝩,空空洞洞
㤕服,屈服
㧁作垺,擠在一堆
㧁作垺,擠在一起
㧒忒,丟掉
㧒忒,丟棄
㧒忒,扔掉
㧡,挑
㧡㧡,挑挑
㧡去,挑到
㧡去,挑去
㧡得贏,挑得動
㧡擔,挑擔子
㧡擔个,挑擔子的
㧡擔家計,負擔家計
㧡東西,挑東西
㧡枷,套上枷鎖
㧡核,挑住
㧡死擔仔,背黑鍋
㧡毋贏,承擔不起
㧡毋贏,挑不動
㧡毋贏,挑不起
㧡毋贏,挑不起來
㧡水,挑水
㧡水,提水
㧡水,擔水
㧡水淋河壩,愚公移山
㧡石頭,挑石頭
㧡石頭个,挑石頭的
㧡秧仔,挑秧苗
㧡穀擔,挑榖擔
㧡穀擔,挑著稻榖
㧡等,挑著
㧡米,挑米
㧡米,買米
㧡菜去市場賣,挑菜去市場賣
㧡著,挑到
㧡走,挑走
㧡起來,挑起來
㧡雜細个,挑雜貨的
㧡飯,奉飯
㧡點心,挑點心
㧾㧾,打打
㧾著,打到
㩆當遽,溜得很快
㩆當遽,跑很快
㩆當遽,跑得很快
㪐,脫落
㪐㪐,鬆鬆垮垮
㪐㪐,鬆鬆的
㪐去,脫落
㪐忒,掉下來
㪐忒,脫落
㪐忒,鬆脫
㪐撇,脫落
㪐毛,掉毛
㪐毛,脫毛
㪐爪,爪子脫落
㪐皮,脫皮
㪐腕,脫臼
㪐色,掉色
㪐蒂,脫蒂
㪐蒂,蒂頭脫落
㪐開來,鬆脫開來
㰵奶嘴仔,吸奶嘴
㰵心,甜過度
㸐人,尖酸刻薄
㸐來㸐去,嘲諷來嘲諷去
㸐來㸐去,挖苦來挖苦去
㸐傷,灼傷
㸐傷,燙傷
㸐舌,舌頭難受
䀯等,偵伺
䀯老鼠,偵伺著老鼠
䀯老鼠,窺視老鼠
䀯著,偵伺著
䀯著,刺探著
䀯賊仔,偵伺著小偷
䁯人,瞪人
䃗崁,隄防
䉂公,茶䉂
䉂公,茶簍
䌈,綁
䌈,繫
䌈䌈核,綁緊
䌈核,綁著
䌈核,繫著
䌈歇,綁著
䌈歇,繫著
䌈等,綁著
䌈等,繫著
䌈粽仔,包粽子
䌈粽仔,繫粽子
䌈索仔,綁繩子
䌈緪,綁緊
䌈落去,綁下去
䌈著,綁到
䌈起來,綁起來
䌈頸,投環自盡
䌈頸,自縊
䗆蜱,床蝨
䗆蜱,臭蟲
䘆公,蚯蚓
䞚䞚走,到處亂跑
䟓䟓,專程
䟓䟓,特地
䟓工,專程
䟓工,特地
䟘,起身
䟘,醒
䟘來,起來
䟘床,起床
䟘床過後,起床後
䟘起來,爬起來
䟘起來,立起身來
䟘起來,站起來
䟩鬚,開叉
䠙上䠙下,來回奔波
䯋鍊,項鍊
一丈紅,蜀葵
一三五毋論，二四六分明,一三五不論，二四六分明
一下仔,一下子
一下半,一會兒
一下半下,偶而
一个,一的
一个勁兒,一個勁兒
一个子兒,一個子兒
一个富貴心，兩隻體面眼,一個富貴心，兩隻體面眼
一个巴掌拍毋響,一個巴掌拍不響
一个心眼兒,一個心眼兒
一个樣兒,一個樣兒
一个毋細心,一個不小心
一个獵古調,一個獵古調
一个碗內兩張匙，毋係湯著就抹著,一個碗內兩張匙，不是湯著就抹著
一个紅臉一个白臉,一個紅臉一個白臉
一个蘿蔔一个坑兒,一個蘿蔔一個坑兒
一个跟斗十萬八千里,一個跟斗十萬八千里
一个錢打二十四个結,一個錢打二十四個結
一个鍋裡食飯个,一個鍋裡吃飯的
一个頭兩个大,一個頭兩個大
一个饅頭，也得蒸熟食,一個饅頭，也得蒸熟吃
一个鼻孔出氣,一個鼻孔出氣
一五一十,詳詳細細
一人毋敵眾人智,一人不敵眾人智
